Designator,Mid X,Mid Y,Layer,Rotation
C1,83.25,-52.95,T,315.00
C1,83.25,-111.95,T,315.00
C1,178.25,-111.95,T,315.00
C1,83.25,-170.95,T,315.00
C1,178.25,-170.95,T,315.00
C1,178.25,-52.95,T,315.00
C2,181.00,-168.95,T,45.00
C2,86.00,-168.95,T,45.00
C2,181.00,-50.95,T,45.00
C2,181.00,-109.95,T,45.00
C2,86.00,-109.95,T,45.00
C2,86.00,-50.95,T,45.00
C3,85.25,-168.20,T,45.00
C3,85.25,-50.20,T,45.00
C3,180.25,-109.20,T,45.00
C3,180.25,-168.20,T,45.00
C3,180.25,-50.20,T,45.00
C3,85.25,-109.20,T,45.00
C4,77.75,-44.45,T,135.00
C4,172.75,-103.45,T,135.00
C4,172.75,-162.45,T,135.00
C4,77.75,-103.45,T,135.00
C4,77.75,-162.45,T,135.00
C4,172.75,-44.45,T,135.00
C5,84.00,-164.70,T,45.00
C5,179.00,-105.70,T,45.00
C5,179.00,-46.70,T,45.00
C5,179.00,-164.70,T,45.00
C5,84.00,-105.70,T,45.00
C5,84.00,-46.70,T,45.00
C6,173.50,-43.70,T,135.00
C6,78.50,-102.70,T,135.00
C6,78.50,-43.70,T,135.00
C6,173.50,-161.70,T,135.00
C6,78.50,-161.70,T,135.00
C6,173.50,-102.70,T,135.00
C7,77.50,-172.20,T,225.00
C7,172.50,-113.20,T,225.00
C7,77.50,-113.20,T,225.00
C7,172.50,-54.20,T,225.00
C7,172.50,-172.20,T,225.00
C7,77.50,-54.20,T,225.00
C8,78.25,-113.95,T,225.00
C8,173.25,-54.95,T,225.00
C8,173.25,-113.95,T,225.00
C8,173.25,-172.95,T,225.00
C8,78.25,-172.95,T,225.00
C8,78.25,-54.95,T,225.00
C9,167.17,-57.55,T,0.00
C9,72.17,-57.55,T,0.00
C9,167.17,-116.55,T,0.00
C9,167.17,-175.55,T,0.00
C9,72.17,-116.55,T,0.00
C9,72.17,-175.55,T,0.00
C10,167.90,-111.80,T,180.00
C10,167.90,-170.80,T,180.00
C10,72.90,-111.80,T,180.00
C10,72.90,-52.80,T,180.00
C10,72.90,-170.80,T,180.00
C10,167.90,-52.80,T,180.00
C11,85.25,-56.70,T,45.00
C11,180.25,-174.70,T,45.00
C11,180.25,-56.70,T,45.00
C11,85.25,-115.70,T,45.00
C11,180.25,-115.70,T,45.00
C11,85.25,-174.70,T,45.00
C12,177.00,-114.20,T,225.00
C12,82.00,-173.20,T,225.00
C12,177.00,-173.20,T,225.00
C12,82.00,-55.20,T,225.00
C12,82.00,-114.20,T,225.00
C12,177.00,-55.20,T,225.00
C13,66.50,-46.45,T,270.00
C13,66.50,-105.45,T,270.00
C13,66.50,-164.45,T,270.00
C13,161.50,-164.45,T,270.00
C13,161.50,-46.45,T,270.00
C13,161.50,-105.45,T,270.00
C14,160.25,-46.45,T,270.00
C14,65.25,-164.45,T,270.00
C14,65.25,-105.45,T,270.00
C14,160.25,-164.45,T,270.00
C14,65.25,-46.45,T,270.00
C14,160.25,-105.45,T,270.00
C15,64.00,-46.45,T,270.00
C15,64.00,-164.45,T,270.00
C15,159.00,-46.45,T,270.00
C15,159.00,-164.45,T,270.00
C15,64.00,-105.45,T,270.00
C15,159.00,-105.45,T,270.00
C16,168.02,-166.20,T,0.00
C16,168.02,-48.20,T,0.00
C16,73.02,-48.20,T,0.00
C16,168.02,-107.20,T,0.00
C16,73.02,-166.20,T,0.00
C16,73.02,-107.20,T,0.00
C17,150.25,-172.58,T,0.00
C17,55.25,-113.58,T,0.00
C17,150.25,-113.58,T,0.00
C17,55.25,-54.58,T,0.00
C17,55.25,-172.58,T,0.00
C17,150.25,-54.58,T,0.00
C18,66.77,-54.58,T,180.00
C18,66.77,-113.58,T,180.00
C18,66.77,-172.58,T,180.00
C18,161.77,-54.58,T,180.00
C18,161.77,-172.58,T,180.00
C18,161.77,-113.58,T,180.00
D1,183.00,-15.95,T,180.00
D1,88.00,-15.95,T,180.00
D1,88.00,-133.95,T,180.00
D1,183.00,-74.95,T,180.00
D1,88.00,-74.95,T,180.00
D1,183.00,-133.95,T,180.00
D2,183.04,-77.95,T,180.00
D2,88.04,-136.95,T,180.00
D2,88.04,-77.95,T,180.00
D2,183.04,-136.95,T,180.00
D2,88.04,-18.95,T,180.00
D2,183.04,-18.95,T,180.00
D3,183.00,-21.95,T,180.00
D3,88.00,-139.95,T,180.00
D3,183.00,-80.95,T,180.00
D3,88.00,-21.95,T,180.00
D3,88.00,-80.95,T,180.00
D3,183.00,-139.95,T,180.00
J2,183.25,-43.78,T,180.00
J2,88.25,-102.78,T,180.00
J2,88.25,-43.78,T,180.00
J2,88.25,-161.78,T,180.00
J2,183.25,-102.78,T,180.00
J2,183.25,-161.78,T,180.00
L1,181.25,-170.20,T,225.00
L1,86.25,-111.20,T,225.00
L1,181.25,-111.20,T,225.00
L1,86.25,-170.20,T,225.00
L1,181.25,-52.20,T,225.00
L1,86.25,-52.20,T,225.00
L2,178.60,-114.95,T,315.00
L2,83.60,-55.95,T,315.00
L2,83.60,-114.95,T,315.00
L2,83.60,-173.95,T,315.00
L2,178.60,-55.95,T,315.00
L2,178.60,-173.95,T,315.00
L3,65.90,-162.70,T,180.00
L3,65.90,-103.70,T,180.00
L3,160.90,-162.70,T,180.00
L3,160.90,-103.70,T,180.00
L3,160.90,-44.70,T,180.00
L3,65.90,-44.70,T,180.00
R1,146.50,-118.45,T,90.00
R1,146.50,-59.45,T,90.00
R1,51.50,-118.45,T,90.00
R1,146.50,-177.45,T,90.00
R1,51.50,-177.45,T,90.00
R1,51.50,-59.45,T,90.00
R2,146.50,-120.70,T,270.00
R2,51.50,-120.70,T,270.00
R2,51.50,-61.70,T,270.00
R2,146.50,-61.70,T,270.00
R2,51.50,-179.70,T,270.00
R2,146.50,-179.70,T,270.00
R3,153.75,-54.58,T,0.00
R3,58.75,-54.58,T,0.00
R3,153.75,-113.58,T,0.00
R3,58.75,-172.58,T,0.00
R3,58.75,-113.58,T,0.00
R3,153.75,-172.58,T,0.00
R4,63.75,-113.58,T,180.00
R4,158.75,-54.58,T,180.00
R4,63.75,-54.58,T,180.00
R4,158.75,-172.58,T,180.00
R4,63.75,-172.58,T,180.00
R4,158.75,-113.58,T,180.00
R5,171.75,-112.45,T,225.00
R5,76.75,-112.45,T,225.00
R5,171.75,-171.45,T,225.00
R5,76.75,-171.45,T,225.00
R5,76.75,-53.45,T,225.00
R5,171.75,-53.45,T,225.00
R6,176.75,-162.45,T,45.00
R6,81.75,-162.45,T,45.00
R6,176.75,-44.45,T,45.00
R6,81.75,-44.45,T,45.00
R6,81.75,-103.45,T,45.00
R6,176.75,-103.45,T,45.00
R7,179.00,-111.20,T,315.00
R7,84.00,-52.20,T,315.00
R7,84.00,-111.20,T,315.00
R7,84.00,-170.20,T,315.00
R7,179.00,-52.20,T,315.00
R7,179.00,-170.20,T,315.00
R8,88.54,-76.45,T,180.00
R8,183.54,-135.45,T,180.00
R8,88.54,-135.45,T,180.00
R8,183.54,-76.45,T,180.00
R8,88.54,-17.45,T,180.00
R8,183.54,-17.45,T,180.00
R9,183.54,-79.45,T,180.00
R9,183.54,-20.45,T,180.00
R9,88.54,-138.45,T,180.00
R9,183.54,-138.45,T,180.00
R9,88.54,-20.45,T,180.00
R9,88.54,-79.45,T,180.00
R10,88.54,-82.45,T,180.00
R10,88.54,-23.45,T,180.00
R10,183.54,-141.45,T,180.00
R10,183.54,-23.45,T,180.00
R10,183.54,-82.45,T,180.00
R10,88.54,-141.45,T,180.00
U1,175.03,-167.70,T,135.00
U1,80.03,-167.70,T,135.00
U1,80.03,-108.70,T,135.00
U1,175.03,-108.70,T,135.00
U1,175.03,-49.70,T,135.00
U1,80.03,-49.70,T,135.00
U3,162.00,-168.95,T,180.00
U3,162.00,-50.95,T,180.00
U3,67.00,-50.95,T,180.00
U3,67.00,-168.95,T,180.00
U3,162.00,-109.95,T,180.00
U3,67.00,-109.95,T,180.00
U4,71.20,-43.05,T,90.00
U4,166.20,-102.05,T,90.00
U4,71.20,-102.05,T,90.00
U4,166.20,-43.05,T,90.00
U4,166.20,-161.05,T,90.00
U4,71.20,-161.05,T,90.00
Y1,72.50,-173.20,T,0.00
Y1,167.50,-114.20,T,0.00
Y1,167.50,-55.20,T,0.00
Y1,72.50,-114.20,T,0.00
Y1,72.50,-55.20,T,0.00
Y1,167.50,-173.20,T,0.00
