Designator,Mid X,Mid Y,Layer,Rotation
C1,178.25,-168.75,T,315.00
C1,178.25,-50.75,T,315.00
C1,83.25,-109.75,T,315.00
C1,83.25,-168.75,T,315.00
C1,178.25,-109.75,T,315.00
C1,83.25,-50.75,T,315.00
C2,181.00,-107.75,T,45.00
C2,181.00,-48.75,T,45.00
C2,86.00,-107.75,T,45.00
C2,86.00,-48.75,T,45.00
C2,181.00,-166.75,T,45.00
C2,86.00,-166.75,T,45.00
C3,180.25,-48.00,T,45.00
C3,85.25,-107.00,T,45.00
C3,180.25,-166.00,T,45.00
C3,85.25,-48.00,T,45.00
C3,85.25,-166.00,T,45.00
C3,180.25,-107.00,T,45.00
C4,77.75,-160.25,T,135.00
C4,172.75,-101.25,T,135.00
C4,172.75,-42.25,T,135.00
C4,77.75,-42.25,T,135.00
C4,172.75,-160.25,T,135.00
C4,77.75,-101.25,T,135.00
C5,179.00,-103.50,T,45.00
C5,84.00,-162.50,T,45.00
C5,179.00,-162.50,T,45.00
C5,179.00,-44.50,T,45.00
C5,84.00,-103.50,T,45.00
C5,84.00,-44.50,T,45.00
C6,173.50,-159.50,T,135.00
C6,78.50,-159.50,T,135.00
C6,78.50,-41.50,T,135.00
C6,173.50,-100.50,T,135.00
C6,173.50,-41.50,T,135.00
C6,78.50,-100.50,T,135.00
C7,172.50,-170.00,T,225.00
C7,172.50,-111.00,T,225.00
C7,172.50,-52.00,T,225.00
C7,77.50,-52.00,T,225.00
C7,77.50,-111.00,T,225.00
C7,77.50,-170.00,T,225.00
C8,173.25,-111.75,T,225.00
C8,173.25,-52.75,T,225.00
C8,173.25,-170.75,T,225.00
C8,78.25,-170.75,T,225.00
C8,78.25,-111.75,T,225.00
C8,78.25,-52.75,T,225.00
C9,167.17,-114.35,T,0.00
C9,72.17,-55.35,T,0.00
C9,167.17,-173.35,T,0.00
C9,72.17,-114.35,T,0.00
C9,72.17,-173.35,T,0.00
C9,167.17,-55.35,T,0.00
C10,72.90,-109.60,T,180.00
C10,167.90,-50.60,T,180.00
C10,72.90,-50.60,T,180.00
C10,72.90,-168.60,T,180.00
C10,167.90,-168.60,T,180.00
C10,167.90,-109.60,T,180.00
C11,180.25,-54.50,T,45.00
C11,85.25,-172.50,T,45.00
C11,180.25,-113.50,T,45.00
C11,180.25,-172.50,T,45.00
C11,85.25,-113.50,T,45.00
C11,85.25,-54.50,T,45.00
C12,177.00,-53.00,T,225.00
C12,177.00,-171.00,T,225.00
C12,82.00,-53.00,T,225.00
C12,82.00,-171.00,T,225.00
C12,177.00,-112.00,T,225.00
C12,82.00,-112.00,T,225.00
C13,161.50,-162.25,T,270.00
C13,161.50,-44.25,T,270.00
C13,66.50,-44.25,T,270.00
C13,66.50,-162.25,T,270.00
C13,66.50,-103.25,T,270.00
C13,161.50,-103.25,T,270.00
C14,65.25,-103.25,T,270.00
C14,65.25,-44.25,T,270.00
C14,65.25,-162.25,T,270.00
C14,160.25,-44.25,T,270.00
C14,160.25,-162.25,T,270.00
C14,160.25,-103.25,T,270.00
C15,159.00,-162.25,T,270.00
C15,64.00,-44.25,T,270.00
C15,64.00,-162.25,T,270.00
C15,159.00,-44.25,T,270.00
C15,64.00,-103.25,T,270.00
C15,159.00,-103.25,T,270.00
C16,73.02,-46.00,T,0.00
C16,168.02,-164.00,T,0.00
C16,168.02,-46.00,T,0.00
C16,168.02,-105.00,T,0.00
C16,73.02,-105.00,T,0.00
C16,73.02,-164.00,T,0.00
C17,150.25,-111.38,T,0.00
C17,150.25,-52.38,T,0.00
C17,55.25,-52.38,T,0.00
C17,150.25,-170.38,T,0.00
C17,55.25,-170.38,T,0.00
C17,55.25,-111.38,T,0.00
C18,161.77,-52.38,T,180.00
C18,66.77,-52.38,T,180.00
C18,161.77,-111.38,T,180.00
C18,66.77,-170.38,T,180.00
C18,161.77,-170.38,T,180.00
C18,66.77,-111.38,T,180.00
C19,157.75,-101.50,T,90.00
C19,157.75,-160.50,T,90.00
C19,62.75,-101.50,T,90.00
C19,157.75,-42.50,T,90.00
C19,62.75,-42.50,T,90.00
C19,62.75,-160.50,T,90.00
C20,66.25,-155.25,T,0.00
C20,66.25,-96.25,T,0.00
C20,161.25,-155.25,T,0.00
C20,66.25,-37.25,T,0.00
C20,161.25,-96.25,T,0.00
C20,161.25,-37.25,T,0.00
D1,88.00,-72.75,T,180.00
D1,88.00,-131.75,T,180.00
D1,88.00,-13.75,T,180.00
D1,183.00,-13.75,T,180.00
D1,183.00,-72.75,T,180.00
D1,183.00,-131.75,T,180.00
D2,183.04,-75.75,T,180.00
D2,88.04,-75.75,T,180.00
D2,183.04,-134.75,T,180.00
D2,88.04,-16.75,T,180.00
D2,88.04,-134.75,T,180.00
D2,183.04,-16.75,T,180.00
D3,88.00,-19.75,T,180.00
D3,88.00,-137.75,T,180.00
D3,183.00,-78.75,T,180.00
D3,183.00,-137.75,T,180.00
D3,183.00,-19.75,T,180.00
D3,88.00,-78.75,T,180.00
J2,183.25,-159.58,T,180.00
J2,88.25,-100.58,T,180.00
J2,88.25,-159.58,T,180.00
J2,183.25,-41.58,T,180.00
J2,88.25,-41.58,T,180.00
J2,183.25,-100.58,T,180.00
L1,86.25,-168.00,T,225.00
L1,86.25,-109.00,T,225.00
L1,181.25,-168.00,T,225.00
L1,181.25,-50.00,T,225.00
L1,86.25,-50.00,T,225.00
L1,181.25,-109.00,T,225.00
L2,83.60,-112.75,T,315.00
L2,83.60,-53.75,T,315.00
L2,178.60,-171.75,T,315.00
L2,83.60,-171.75,T,315.00
L2,178.60,-53.75,T,315.00
L2,178.60,-112.75,T,315.00
L3,65.90,-42.50,T,180.00
L3,160.90,-42.50,T,180.00
L3,65.90,-160.50,T,180.00
L3,160.90,-160.50,T,180.00
L3,65.90,-101.50,T,180.00
L3,160.90,-101.50,T,180.00
R1,51.50,-116.25,T,90.00
R1,146.50,-175.25,T,90.00
R1,146.50,-57.25,T,90.00
R1,146.50,-116.25,T,90.00
R1,51.50,-57.25,T,90.00
R1,51.50,-175.25,T,90.00
R2,51.50,-59.50,T,270.00
R2,51.50,-177.50,T,270.00
R2,146.50,-118.50,T,270.00
R2,146.50,-177.50,T,270.00
R2,51.50,-118.50,T,270.00
R2,146.50,-59.50,T,270.00
R3,153.75,-111.38,T,0.00
R3,58.75,-111.38,T,0.00
R3,58.75,-52.38,T,0.00
R3,153.75,-170.38,T,0.00
R3,58.75,-170.38,T,0.00
R3,153.75,-52.38,T,0.00
R4,158.75,-52.38,T,180.00
R4,63.75,-52.38,T,180.00
R4,158.75,-170.38,T,180.00
R4,63.75,-170.38,T,180.00
